,stock_code,maximum_drawdown,maximum_drawdown_percentage,rate,gain,stop,annualized_returns
42,WDO,-17439.022500000137,-28.535778715761044,29.514824797843666,1.0000000000000004,0.1,8.993396639720386
43,WIN,-27346.272600000128,-44.013166317484306,28.871391076115486,1.0000000000000004,0.1,9.431774257937175
44,PETR4,-33834.34432099998,-40.52560312425321,36.28088426527958,0.5,0.15000000000000002,24.033479212050434
45,VALE3,-28394.02975900018,-53.20554126608626,37.61840324763194,0.5,0.15000000000000002,25.71026052265197
46,WDO,-24205.102500000037,-23.211742627503813,36.64021164021164,0.5,0.15000000000000002,19.1891580326647
47,WIN,-21999.90150000014,-25.448745198944223,35.74193548387097,0.5,0.15000000000000002,12.178705720510763
48,PETR4,-33834.344321,-42.982324599668495,35.83662714097497,0.55,0.15000000000000002,19.89656222864644
49,VALE3,-27110.90924800015,-47.47157059693803,37.22527472527473,0.55,0.15000000000000002,28.7007240628699
50,WDO,-22426.520000000004,-24.993888948236567,35.84905660377358,0.55,0.15000000000000002,13.02047856688442
51,WIN,-21255.153200000088,-25.063090052359023,35.67708333333333,0.55,0.15000000000000002,11.784251746806241
52,PETR4,-33834.344321,-42.00514388940329,35.28628495339547,0.6000000000000001,0.15000000000000002,21.873799266852444
53,VALE3,-36279.6389350002,-63.52614090437879,35.714285714285715,0.6000000000000001,0.15000000000000002,21.612920159575477
54,WDO,-21497.367499999935,-27.085979786076685,35.10204081632653,0.6000000000000001,0.15000000000000002,13.288696615606543
55,WIN,-21993.85490000015,-26.753892595411543,35.30961791831357,0.6000000000000001,0.15000000000000002,11.340348584524351
56,PETR4,-35489.916191000244,-40.79196501795464,34.67741935483871,0.6500000000000001,0.15000000000000002,21.388510104817726
57,VALE3,-35057.68674500026,-63.45994453893813,35.319148936170215,0.6500000000000001,0.15000000000000002,23.458757937124997
58,WDO,-21086.47749999995,-25.492625052741076,34.80055020632737,0.6500000000000001,0.15000000000000002,15.115790816805674
59,WIN,-21133.80290000014,-25.75511982105448,34.70744680851064,0.6500000000000001,0.15000000000000002,12.291413459408096
60,PETR4,-36039.95688600029,-39.20789807155489,34.64140730717185,0.7000000000000002,0.15000000000000002,23.791871253914266
61,VALE3,-32444.839332000276,-58.73027845675334,35.092724679029956,0.7000000000000002,0.15000000000000002,28.43847635536896
62,WDO,-22361.23999999996,-24.31798365492725,34.758620689655174,0.7000000000000002,0.15000000000000002,18.345897040529824
63,WIN,-21547.32050000006,-25.033560382733917,34.354194407456724,0.7000000000000002,0.15000000000000002,15.49371683365337
64,PETR4,-38000.731780000235,-37.519794834744864,34.60490463215259,0.7500000000000002,0.15000000000000002,26.17601378144032
65,VALE3,-31570.046144000302,-58.82532543645607,34.67625899280576,0.7500000000000002,0.15000000000000002,27.067216080849455
66,WDO,-21186.18749999994,-23.58494576972953,34.62603878116344,0.7500000000000002,0.15000000000000002,19.336335080848755
67,WIN,-20327.032900000137,-23.98755556378377,34.17890520694259,0.7500000000000002,0.15000000000000002,15.778136815124878
68,PETR4,-37301.50152000018,-35.28956543853097,34.15637860082305,0.8000000000000003,0.15000000000000002,27.420090452363887
